FASB157,Net Asset Value,Price Confirm,Asset Liability,Portfolio,Portfolio Name,Value Date,Investment Currency, Quantity , Account Type , Finance Account , FX Rate , Market Price , Book Market Price ,Price Date,Price Source,PM Price Source, Unit Cost , Local Cost , Book Cost Not , Local Mkt Value , Book Mkt Value , Local Cost Not , Book Curr Not , Local Curr Not , Book Unit Cost , Book Accrued Interest , Local Accrued Interest ,Strategy,Custodian Code,Custodian Account,Legal Entity,Investment,Security Description,Base Currency,IG NonIG,Custodian Name,Report Group Name,Source,Last Updated By,Last Updated Date,Top Level SecType,Mid Level SecType,Third Level SecType,FASB157
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-10.00,, Sub-Admin Fee Payable ,1,1,1,12/29/2017,Bloomberg,,,,7100,7100,7100,7100,,,1, -   , -   ,,MORGAN STANLEY,,,Position 71,Position 71,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,983.00,, N.A. ,1,65.98,65.98,12/29/2017,Bloomberg,,,,7200,7200,7200,7200,,,43.41, -   , -   ,,MORGAN STANLEY,,,Position 72,Position 72,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,EUR       ,"-1,862.00",, SpotFxPayable ,1.2,1.2,1.2,12/29/2017,Bloomberg,,,,7300,7300,7300,7300,,,1.19, -   , -   ,,CITIGROUP,,,Position 73,Position 73,USD,Indeterminate,CitiGroup,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,253.00,, N.A. ,1,0.18,0.18,12/29/2017,Bloomberg,,,,7400,7400,7400,7400,,,0.75, -   , -   ,,OTHER,,,Position 74,Position 74,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,HKD       ,"1,302.00",, N.A. ,0.13,406,51.97,12/29/2017,Bloomberg,,,,7500,7500,7500,7500,,,17.27, -   , -   ,,MORGAN STANLEY,,,Position 75,Position 75,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,Non-US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-598.00,, N.A. ,1,31.86,31.86,12/29/2017,Bloomberg,,,,7600,7600,7600,7600,,,30.92, -   , -   ,,MORGAN STANLEY,,,Position 76,Position 76,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Depository Receipt,ADR,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-6,, DividendsPayable ,1,1,1,12/29/2017,Bloomberg,,,,7700,7700,7700,7700,,,1, -   , -   ,,CITIGROUP,,,Position 77,Position 77,USD,Indeterminate,CitiGroup,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,SEK       ,0,, Cash ,0.12,0.12,0.12,12/29/2017,Bloomberg,,,,7800,7800,7800,7800,,,0.12, -   , -   ,,CITIGROUP,,,Position 78,Position 78,USD,Indeterminate,CitiGroup,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,227.00,, N.A. ,1,23.24,23.24,12/29/2017,Bloomberg,,,,7900,7900,7900,7900,,,21.81, -   , -   ,,CITIGROUP,,,Position 79,Position 79,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Index Shares,ETF,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,61.00,, N.A. ,1,151.36,151.36,12/29/2017,Bloomberg,,,,8000,8000,8000,8000,,,145.44, -   , -   ,,MORGAN STANLEY,,,Position 80,Position 80,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-530.00,, N.A. ,1,36.4,36.4,12/29/2017,Bloomberg,,,,8100,8100,8100,8100,,,40.98, -   , -   ,,MORGAN STANLEY,,,Position 81,Position 81,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-124.00,, N.A. ,1,67.98,67.98,12/29/2017,Bloomberg,,,,8200,8200,8200,8200,,,64.66, -   , -   ,,MORGAN STANLEY,,,Position 82,Position 82,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-448.00,, N.A. ,1,37.67,37.67,12/29/2017,Bloomberg,,,,8300,8300,8300,8300,,,37.68, -   , -   ,,CREDIT SUISSE,,,Position 83,Position 83,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,552.00,, N.A. ,1,3.93,3.93,12/29/2017,Bloomberg,,,,8400,8400,8400,8400,,,3.94, -   , -   ,,CITIGROUP,,,Position 84,Position 84,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,10.00,, Cash ,1,1,1,12/29/2017,Bloomberg,,,,8500,8500,8500,8500,,,1, -   , -   ,,CITI,,,Position 85,Position 85,USD,Indeterminate,CITI Fixed Income Direct,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-110.00,, N.A. ,1,51.7,51.7,12/29/2017,Bloomberg,,,,8600,8600,8600,8600,,,52.19, -   , -   ,,_WELLS_FARGO_CASH,,,Position 86,Position 86,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,GBP       ,31.00,, Cash ,1.35,1.35,1.35,12/29/2017,Bloomberg,,,,8700,8700,8700,8700,,,1.34, -   , -   ,,MORGAN STANLEY,,,Position 87,Position 87,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"-1,010.00",, N.A. ,1,28.84,28.84,12/29/2017,Bloomberg,,,,8800,8800,8800,8800,,,23.89, -   , -   ,,CITIGROUP,,,Position 88,Position 88,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-135.00,, N.A. ,1,67.72,67.72,12/29/2017,Bloomberg,,,,8900,8900,8900,8900,,,66.95, -   , -   ,,CITIGROUP,,,Position 89,Position 89,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,857.00,, N.A. ,1,0.9,0.9,12/29/2017,Bloomberg,,,,9000,9000,9000,9000,,,0.9, -   , -   ,,OTHER,,,Position 90,Position 90,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-38.00,, Accrued Interest Payable - Broker ,1,1,1,12/29/2017,Bloomberg,,,,9100,9100,9100,9100,,,1, -   , -   ,,_WELLS_FARGO_CASH,,,Position 91,Position 91,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"-13,270.00",, N.A. ,1,97.95,97.95,12/29/2017,Bloomberg,,,,9200,9200,9200,9200,,,104.42,442.33,442.33,,GOLDMAN SACHS,,,Position 92,Position 92,USD,Indeterminate,Goldman Sachs,,,,43109.33403,OTC Derivative Contracts,Credit Derivatives,CDS - New,Level 2
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-408.00,, N.A. ,1,34.46,34.46,12/29/2017,Bloomberg,,,,9300,9300,9300,9300,,,39.92, -   , -   ,,MORGAN STANLEY,,,Position 93,Position 93,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,955.00,, N.A. ,1,53.84,53.84,12/29/2017,Bloomberg,,,,9400,9400,9400,9400,,,46.09, -   , -   ,,CREDIT SUISSE,,,Position 94,Position 94,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"2,666.00",, Cash - Pending ,1,1,1,12/29/2017,Bloomberg,,,,9500,9500,9500,9500,,,1, -   , -   ,,GEMINI,,,Position 95,Position 95,USD,Indeterminate,GEMINI,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,21.00,, N.A. ,1,130.39,130.39,12/29/2017,Bloomberg,,,,9600,9600,9600,9600,,,122.23, -   , -   ,,_WELLS_FARGO_CASH,,,Position 96,Position 96,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,244.00,, N.A. ,1,0.51,0.51,12/29/2017,Bloomberg,,,,9700,9700,9700,9700,,,0.49, -   , -   ,,OTHER,,,Position 97,Position 97,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-239.00,, N.A. ,1,24.42,24.42,12/29/2017,Bloomberg,,,,9800,9800,9800,9800,,,24.07, -   , -   ,,STATE STREET,,,Position 98,Position 98,USD,Indeterminate,State Street,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-48.00,, N.A. ,1,36.02,36.02,12/29/2017,Bloomberg,,,,9900,9900,9900,9900,,,32.46, -   , -   ,,MORGAN STANLEY,,,Position 99,Position 99,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,413.00,, Cash ,1,1,1,12/29/2017,Bloomberg,,,,10000,10000,10000,10000,,,1, -   , -   ,,_450 INVESTMENTS LLC,,,Position 100,Position 100,USD,Indeterminate,_450 INVESTMENTS LLC,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,SEK       ,-631.00,, N.A. ,0.12,169.3,20.64,12/29/2017,Bloomberg,,,,10100,10100,10100,10100,,,24.94, -   , -   ,,MORGAN STANLEY,,,Position 101,Position 101,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,Non-US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"1,153.00",, Cash - Pending ,1,1,1,12/29/2017,Bloomberg,,,,10200,10200,10200,10200,,,1, -   , -   ,,STATE STREET,,,Position 102,Position 102,USD,Indeterminate,State Street,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,326.00,, N.A. ,1,122.28,122.28,12/29/2017,Bloomberg,,,,10300,10300,10300,10300,,,55.98, -   , -   ,,CITIGROUP,,,Position 103,Position 103,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,2,, Prepaid Fees ,1,1,1,12/29/2017,Bloomberg,,,,10400,10400,10400,10400,,,1, -   , -   ,,MORGAN STANLEY,,,Position 104,Position 104,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,247.00,, N.A. ,1,122.28,122.28,12/29/2017,Bloomberg,,,,10500,10500,10500,10500,,,98.15, -   , -   ,,MORGAN STANLEY,,,Position 105,Position 105,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-65.00,, N.A. ,1,20.64,20.64,12/29/2017,Bloomberg,,,,10600,10600,10600,10600,,,19.44, -   , -   ,,_WELLS_FARGO_CASH,,,Position 106,Position 106,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Partnership Shares,Partnership Shares,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-38.00,, N.A. ,1,135.73,135.73,12/29/2017,Bloomberg,,,,10700,10700,10700,10700,,,100.74, -   , -   ,,CREDIT SUISSE,,,Position 107,Position 107,USD,Indeterminate,Credit Suisse,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"15,250.00",, Cash ,1,1,1,12/29/2017,Bloomberg,,,,10800,10800,10800,10800,,,1, -   , -   ,,BANK OF NY,,,Position 108,Position 108,USD,Indeterminate,Bank of NY,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,GBP       ,0,, Cash ,1.35,1.35,1.35,12/29/2017,Bloomberg,,,,10900,10900,10900,10900,,,1.59, -   , -   ,,_MS FUTURES,,,Position 109,Position 109,USD,Indeterminate,_MS FUTURES,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-200.00,, Cash ,1,1,1,12/29/2017,Bloomberg,,,,11000,11000,11000,11000,,,1, -   , -   ,,CREDIT SUISSE,,,Position 110,Position 110,USD,Indeterminate,Credit Suisse,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-100.00,, N.A. ,1,105.22,105.22,12/29/2017,Bloomberg,,,,11100,11100,11100,11100,,,109.47, -   , -   ,,CITIGROUP,,,Position 111,Position 111,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,EUR       ,"-32,533.00",, N.A. ,1.2,1,1.2,12/31/2017,Bloomberg,,,,11200,11200,11200,11200,,,1.18, -   , -   ,,MORGAN STANLEY,,,Position 112,Position 112,USD,Indeterminate,Morgan Stanley,,,,43109.33542,OTC Derivative Contracts,FX Forwards,FX Forwards,Level 2
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,EUR       ,0,, Cash ,1.2,1.2,1.2,12/29/2017,Bloomberg,,,,11300,11300,11300,11300,,,1.07, -   , -   ,,_MS FUTURES,,,Position 113,Position 113,USD,Indeterminate,_MS FUTURES,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,2,, Interest Receivable Broker ,1,1,1,12/29/2017,Bloomberg,,,,11400,11400,11400,11400,,,1, -   , -   ,,CITIBANK,,,Position 114,Position 114,USD,Indeterminate,Citibank,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-73.00,, Accrued Admin Fee Payable ,1,1,1,12/29/2017,Bloomberg,,,,11500,11500,11500,11500,,,1, -   , -   ,,MORGAN STANLEY,,,Position 115,Position 115,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,2,, Interest Receivable Broker ,1,1,1,12/29/2017,Bloomberg,,,,11600,11600,11600,11600,,,1, -   , -   ,,CREDIT SUISSE,,,Position 116,Position 116,USD,Indeterminate,Credit Suisse,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Not Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-474.00,, N.A. ,1, -   , -   ,12/29/2017,Bloomberg,,,,11700,11700,11700,11700,,,6.43, -   , -   ,,CITIGROUP,,,Position 117,Position 117,USD,Indeterminate,CitiGroup,,,,43109.34861,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,5,, DividendsReceivable ,1,1,1,12/29/2017,Bloomberg,,,,11800,11800,11800,11800,,,1, -   , -   ,,MORGAN STANLEY,,,Position 118,Position 118,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,917.00,, N.A. ,1,28.48,28.48,12/29/2017,Bloomberg,,,,11900,11900,11900,11900,,,26.07, -   , -   ,,MORGAN STANLEY,,,Position 119,Position 119,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,118.00,, N.A. ,1,73.55,73.55,12/29/2017,Bloomberg,,,,12000,12000,12000,12000,,,72.27, -   , -   ,,MORGAN STANLEY,,,Position 120,Position 120,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-67.00,, N.A. ,1,36.4,36.4,12/29/2017,Bloomberg,,,,12100,12100,12100,12100,,,42.65, -   , -   ,,STATE STREET,,,Position 121,Position 121,USD,Indeterminate,State Street,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"1,000.00",, Cash ,1,1,1,12/29/2017,Bloomberg,,,,12200,12200,12200,12200,,,1, -   , -   ,,CITIBANK,,,Position 122,Position 122,USD,Indeterminate,Citibank,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-65.00,, N.A. ,1,174.3,174.3,12/29/2017,Bloomberg,,,,12300,12300,12300,12300,,,155.52, -   , -   ,,MORGAN STANLEY,,,Position 123,Position 123,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,891.00,, N.A. ,1,29.44,29.44,12/29/2017,Bloomberg,,,,12400,12400,12400,12400,,,25.16, -   , -   ,,MORGAN STANLEY,,,Position 124,Position 124,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,1,, DividendsReceivable ,1,1,1,12/29/2017,Bloomberg,,,,12500,12500,12500,12500,,,1, -   , -   ,,MORGAN STANLEY,,,Position 125,Position 125,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,333.00,, N.A. ,1,73.55,73.55,12/29/2017,Bloomberg,,,,12600,12600,12600,12600,,,73.84, -   , -   ,,CITIGROUP,,,Position 126,Position 126,USD,Indeterminate,CitiGroup,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-37.00,, DividendsPayable ,1,1,1,12/29/2017,Bloomberg,,,,12700,12700,12700,12700,,,1, -   , -   ,,CITIGROUP,,,Position 127,Position 127,USD,Indeterminate,CitiGroup,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 3,,Not Confirmed by Admin,Not Confirmed by Admin,,Fund 1,12/31/2017,USD       ,4,, N.A. ,1,200,200,12/29/2017,Bloomberg,,,,12800,12800,12800,12800,,,200, -   , -   ,,OTHER,,,Position 128,Position 128,USD,Indeterminate,Other,,,,43109.33194,Corporate Equity,Fund,Fund - Private Placement,Level 3
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-89.00,, Accrued Interest Payable - Broker ,1,1,1,12/29/2017,Bloomberg,,,,12900,12900,12900,12900,,,1, -   , -   ,,CREDIT SUISSE,,,Position 129,Position 129,USD,Indeterminate,Credit Suisse,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,-356.00,, N.A. ,1,28.84,28.84,12/29/2017,Bloomberg,,,,13000,13000,13000,13000,,,26.26, -   , -   ,,MORGAN STANLEY,,,Position 130,Position 130,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,58.00,, N.A. ,1,97.9,97.9,12/29/2017,Bloomberg,,,,13100,13100,13100,13100,,,65.62, -   , -   ,,MORGAN STANLEY,,,Position 131,Position 131,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,406.00,, N.A. ,1,0.41,0.41,12/29/2017,Bloomberg,,,,13200,13200,13200,13200,,, -   , -   , -   ,,MORGAN STANLEY,,,Position 132,Position 132,USD,Indeterminate,Morgan Stanley,,,,43109.30903,Derivative Contracts,Equity Warrant,Equity Warrant,Level 2
Level 1,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,334.00,, N.A. ,1,73.55,73.55,12/29/2017,Bloomberg,,,,13300,13300,13300,13300,,,71.79, -   , -   ,,_WELLS_FARGO_CASH,,,Position 133,Position 133,USD,Indeterminate,_WELLS_FARGO_CASH,,,,43109.30903,Corporate Equity,Common Stock,US Common Stock,Level 1
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,AUD       ,0,, Cash ,0.78,0.78,0.78,12/29/2017,Bloomberg,,,,13400,13400,13400,13400,,,0.78, -   , -   ,,CITIGROUP,,,Position 134,Position 134,USD,Indeterminate,CitiGroup,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,"-13,274.00",, N.A. ,1,98.47,98.47,12/29/2017,Bloomberg,,,,13500,13500,13500,13500,,,105.06,442.47,442.47,,GOLDMAN SACHS,,,Position 135,Position 135,USD,Indeterminate,Goldman Sachs,,,,43109.33403,OTC Derivative Contracts,Credit Derivatives,CDS - New,Level 2
Cash and Other Assets/Liabilities,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,USD       ,3,, Cash ,1,1,1,12/29/2017,Bloomberg,,,,13600,13600,13600,13600,,,1, -   , -   ,,MORGAN STANLEY,,,Position 136,Position 136,USD,Indeterminate,Morgan Stanley,,,,43109.32708,Currency,Currency,Currency,Cash and Other Assets/Liabilities
Level 2,,Confirmed by Admin,Confirmed By Admin,,Fund 1,12/31/2017,EUR       ,"-23,743.00",, N.A. ,1.2,1,1.2,12/31/2017,Bloomberg,,,,13700,13700,13700,13700,,,1.18, -   , -   ,,MORGAN STANLEY,,,Position 137,Position 137,USD,Indeterminate,Morgan Stanley,,,,43109.33542,OTC Derivative Contracts,FX Forwards,FX Forwards,Level 2
